Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Historical Revenue Growth","5Y Hist Op. Cash Flow Growth","5Y Historical EBITDA Growth","5Y Historical EPS Growth","3Y Historical Dividend Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical EBITDA Growth","1Y Hist Op. Cash Flow Growth","1Y Forward EPS Growth","1Y Historical Revenue Growth","1Y Forward Revenue Growth"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75","15.093076023660279",,"15.881097946088474","18.15349049471724","96.6095144983117",,"20.077964763272046","36.73926308152804","17.01918270521566","-128.1557663128628","10.684898354307839","22.046341163800577","-24.960756348999663"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","12.549860818944424","10.855430610050565","11.640997921962114","11.619493405767134","16.356770833651435","8.979733036332101","10.567931705556136","15.33968783510069","9.869469995619799","5.046434203609603","11.298641900633474","16.92530086018429","6.793767927586309"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6","9.487289150105038","1.9991405680705565","31.75749288315206","32.38282347679559",,,"34.89752924786077","-152.47136190072126","32.84519622425841","-57.89493628604945","8.002455996725345","18.815197663624474","-49.74765148875858"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","11.210611179753416","10.520184512242036","13.199565969095662","12.323987352371656","15.977799952979943","12.058657243816299","13.976230588476449","30.616938306169374","11.616702355460385","10.422192749778956","11.154008363518773","15.845103711687191","6.81312941714136"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","15.148833204076873","11.192595432869567","11.317003562737682","9.98518946822231","24.780567401032737","7.0228447180415","10.400777441186408","26.534917879556687","11.97241460960161","-5.936780406112623","7.68243893010998","20.600955331784142","5.291600877779859"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","9.831164480206933","7.467198602955327","8.184857306588999","10.870178054296332","15.156525259485921","5.7897892622328","25.301326408518307","10.764638419710181","23.383750050481858","19.663643203928107","9.62356888981984","16.82182824839673","2.877288581139597"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05","9.08064642845694",,,,,,"57.31429518051179","-100.22089509585403","48.03351681361939","-249.0838090401483","7.3314049523911144","16.31681593493075","-56.613078922486785"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","10.456288915796952","14.23604941848684","17.824585527564075","42.96220442634642","26.775929115113218","13.2721137589708","99.64691031204279","13.666214565416396","16.2444122849333","14.13048438958614","62.12837837837837","15.39151680808597","10.057621233584339"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","26.551380400994763",,"32.33514965749988","33.76422499889627","44.22495703074083",,"63.348152952603066",,"61.94046529501894","-13.616914577823072","22.734260443529873","30.83700259573654","-14.493462031870662"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25",,,,,,"-22.9383777204066","343.2391842177925",,"229.74915838706002","-104.69285889042013","-45.24688104023897","9.355515887313182","14.087225694336276"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9","11.914633620792259",,"16.236011549994057","17.823627051115132",,,"23.308764136788433","-125.75597613097108","23.23258453981303","-114.95397406949145","8.165997793627033","16.121470959931592","-50.44556201216781"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","8.321718108944442","19.732325639772608","6.406304965181264","7.74271799748294",,"22.7262970715828","-0.4196809706054724","-37.744545365140915","3.013504520717757","21.09041990134677","68.5632892716816","9.206281252875282","82.13111863674571"
