Name,Ticker,"Sub-Sector","Market Cap","Close Price","Percentage Buy Reco’s","No. of analysts with buy reco","Percentage Hold Reco's","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","44009.84892199","772.6","72","18","24","4","25","-9.946744774330986"
L&T Technology Services Ltd,LTTS,"Software Services","43776.04706984","4090.55","13.04347826086956","3","21.73913043478261","65.21739130434783","23","-14.79192816452641"
MRF Ltd,MRF,"Tires & Rubber","43564.236284545004","101896.2","10","1","20","70","10","-22.895807605569217"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","43515.083925","3690.1","39.130434782608695","9","30.434782608695656","30.434782608695656","23","-4.655923285111757"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42930.04221","33.25","0","0","100","0","1","-2.5875190258751943"
REC Ltd,RECLTD,"Specialized Finance","42750.39164","161.75","100","5","0","0","5","-1.4474899907606988"
Lupin Ltd,LUPIN,"Pharmaceuticals","42449.094044175","946.1","27.77777777777778","10","33.33333333333333","38.88888888888889","36","-19.59260251943179"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","42258.55519755","300.4","64.51612903225806","20","16.129032258064516","19.35483870967742","31","-3.8267875125881097"
Container Corporation of India Ltd,CONCOR,"Logistics","41791.49932932","685.7","53.84615384615385","14","30.76923076923077","15.384615384615385","26","2.055693249744864"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","41708.60275972","145.05","69.56521739130434","16","8.695652173913043","21.73913043478261","23","25.51299589603284"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","40911.79511208","2213.9","44.827586206896555","13","27.586206896551722","27.586206896551722","29","-7.825606046640251"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","40667.526528329996","36568.9","22.72727272727272","5","31.818181818181817","45.45454545454545","22","3.3311437461688023"
Indian Bank,INDIANB,"Public Banks","40501.74584028","328.6","75","6","25","0","8","4.397293972939733"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","39833.43541076","851.6","62.96296296296296","17","18.51851851851852","18.51851851851852","27","8.935772310209812"
United Breweries Ltd,UBL,"Alcoholic Beverages","39769.17846109","1503.85","40","6","33.33333333333333","26.666666666666668","15","-0.5385280234026932"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","39456.647094935","321.35","57.57575757575758","19","33.33333333333333","9.090909090909092","33","-3.079568547756768"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","38898.16731426","1075.6","58.333333333333336","14","25","16.666666666666664","24","-5.402879042811737"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","38744.50136987","1409.1","84.61538461538461","11","7.6923076923076925","7.6923076923076925","13","0.2111592283740772"
Persistent Systems Ltd,PERSISTENT,"Software Services","38639.70696915","5043.75","56.666666666666664","17","20","23.333333333333332","30","-0.09146282133613207"
Dalmia Bharat Ltd,DALBHARAT,"Cement","38202.873160970004","2020.95","73.33333333333333","22","16.666666666666664","10","30","11.89085733915689"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","37773.152429135","42582.35","33.33333333333333","2","50","16.666666666666664","6","2.7562791927897465"
Steel Authority of India Ltd,SAIL,"Iron & Steel","37505.169624120004","89.9","47.82608695652174","11","26.08695652173913","26.08695652173913","23","-0.8810572687224638"
Vodafone Idea Ltd,IDEA,"Telecom Services","37483.36068785","7.55","0","0","20","80","15","-28.571428571428573"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","37262.38271316","4593.95","100","2","0","0","2","7.422411425432578"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","37138.983306040005","645.05","70.58823529411765","12","5.88235294117647","23.52941176470588","17","9.64053567233142"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","34952.877","1819.65","33.33333333333333","1","33.33333333333333","33.33333333333333","3","-57.01096364685517"
Indraprastha Gas Ltd,IGL,"Gas Distribution","34793.539764","491.3","80","24","10","10","30","12.664721858967908"
