Name,Ticker,"Sub-Sector","Market Cap","Percentage Hold Reco's","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","135846.31324446","25.806451612903224","20","64.51612903225806","9.67741935483871","31","3.950103950103947"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","133123.7627187","33.33333333333333","2","11.11111111111111","55.55555555555556","18","-10.625620655412108"
Siemens Ltd,SIEMENS,"Conglomerates","132729.26","20.833333333333336","14","58.333333333333336","20.833333333333336","24","-0.8944975659474006"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","131521.880924775","3.3333333333333335","29","96.66666666666669","0","30","17.964914951101637"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","128872.9425","0","7","87.5","12.5","8","-11.715101193565127"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","122610.39305436001","22.22222222222222","26","72.22222222222221","5.555555555555555","36","1.6138379482746694"
DLF Ltd,DLF,"Real Estate","121797.71249373001","11.76470588235294","14","82.35294117647058","5.88235294117647","17","2.4286149781526243"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","115540.98603021001","10.256410256410255","34","87.17948717948718","2.564102564102564","39","5.3549371503306"
Grasim Industries Ltd,GRASIM,"Cement","115519.78308401999","20","7","70","10","10","10.239799977270147"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","114557.10051135","31.57894736842105","18","47.36842105263157","21.052631578947366","38","-4.7011274196979365"
Varun Beverages Ltd,VBL,"Soft Drinks","108198.58140365999","13.333333333333334","13","86.66666666666667","0","15","-1.1826859578555589"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","107752.00103928","13.88888888888889","29","80.55555555555556","5.555555555555555","36","4.736142748671232"
Interglobe Aviation Ltd,INDIGO,"Airlines","103573.37267535999","8.333333333333332","21","87.5","4.166666666666666","24","6.089934484812384"
Vedanta Ltd,VEDL,"Metals - Diversified","103245.35816902","35.714285714285715","6","42.85714285714285","21.428571428571427","14","3.3986693040819955"
Dabur India Ltd,DABUR,"FMCG - Personal Products","102370.44294367","34.146341463414636","25","60.97560975609756","4.878048780487805","41","1.3501817552362738"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","101875.8349263","20","24","80","0","30","11.6751269035533"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","97396.69454335999","9.523809523809524","19","90.47619047619048","0","21","17.87683823529412"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","96123.5181322","33.33333333333333","5","23.8095238095238","42.857142857142854","21","-19.90941478637908"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","94621.04146488","24.242424242424242","24","72.72727272727273","3.0303030303030303","33","-11.018421967327074"
ABB India Ltd,ABB,"Heavy Electrical Equipments","93394.37811375","33.33333333333333","13","48.14814814814814","18.51851851851852","27","-16.048374288112907"
Bharat Electronics Ltd,BEL,"Electronic Equipments","91737.72430395","4.3478260869565215","21","91.30434782608697","4.3478260869565215","23","4.780876494023905"
Adani Power Ltd,ADANIPOWER,"Power Generation","91486.59168052","0","0",,"0",,
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","89133.0888383","31.57894736842105","21","55.26315789473685","13.157894736842104","38","11.569930767695682"
Shree Cement Ltd,SHREECEM,"Cement","87145.65024066","35.8974358974359","10","25.64102564102564","38.46153846153847","39","0.1740988160866448"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","86073.54951852","13.333333333333334","24","80","6.666666666666667","30","0.3009027081243655"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","85459.47466546501","21.62162162162162","19","51.35135135135135","27.027027027027028","37","-2.8673103287343547"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","83126.51473716","0","1","100","0","1","172.1417069243156"
Ambuja Cements Ltd,AMBUJACEM,"Cement","82781.54959701","24.324324324324326","21","56.75675675675676","18.91891891891892","37","2.5425761573518884"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","82450.6839484","0","0",,"0",,
Cipla Ltd,CIPLA,"Pharmaceuticals","82393.39818251999","21.052631578947366","26","68.42105263157895","10.526315789473683","38","4.340158714607617"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","82074.49153718","22.58064516129032","21","67.74193548387096","9.67741935483871","31","10.6573573969174"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","79726.4389797","31.70731707317073","21","51.21951219512195","17.073170731707318","41","8.032696691031992"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","79092.045273925","8.333333333333332","18","75","16.666666666666664","24","14.866886030511516"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","77790.79051275","12.5","20","83.33333333333334","4.166666666666666","24","2.1078402101868963"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","74509.2092574","0","21","100","0","21","2.2771130837514475"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","72919.1137332","20","8","80","0","10","-15.967148272262806"
GAIL (India) Ltd,GAIL,"Gas Distribution","71076.82714083","26.666666666666668","18","60","13.333333333333334","30","14.708603145235898"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","70888.607850195","19.047619047619047","10","47.61904761904761","33.33333333333333","21","-2.4115393283750257"
Adani Total Gas Ltd,ATGL,"Gas Distribution","69315.530481075","0","0",,"0",,
Zomato Ltd,ZOMATO,"Online Services","68962.94502138","3.8461538461538463","21","80.76923076923077","15.384615384615385","26","-0.24330900243309347"
Marico Ltd,MARICO,"FMCG - Personal Products","68923.53729657","21.052631578947366","27","71.05263157894737","7.894736842105263","38","6.737887733108434"
Macrotech Developers Ltd,LODHA,"Real Estate","67284.0786836","20","12","80","0","15","-9.598853868194842"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","67243.58635985","34.78260869565217","12","52.17391304347826","13.043478260869565","23","-6.976744186046512"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","67092.5303102","20.689655172413794","22","75.86206896551724","3.4482758620689653","29","-8.747903856903298"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","66628.980398685","13.636363636363635","17","77.27272727272727","9.090909090909092","22","5.422241881381544"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","65331.8155104","20","21","70","10","30","-1.5722537363690476"
Punjab National Bank,PNB,"Public Banks","65075.10194778001","37.5","5","31.25","31.25","16","-8.629441624365484"
SRF Ltd,SRF,"Diversified Chemicals","64426.453589625","16","20","80","4","25","36.649106259633314"
