Name,Ticker,"Sub-Sector","Market Cap","Earnings Quality Rank","Fundamental Score","Price Momentum Rank","Price to Intrinsic Value Rank","Value Momentum Rank"
Interglobe Aviation Ltd,INDIGO,"Airlines","103573.37267535999","55","10","75",,"87"
Vedanta Ltd,VEDL,"Metals - Diversified","103245.35816902","96","5.8125","90","91","85"
Dabur India Ltd,DABUR,"FMCG - Personal Products","102370.44294367","50","4.61666666666667","16","16","4"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","101875.8349263","32","5.64032258064516","83","93","98"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","97396.69454335999","92","6.63125","60","76","80"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","96123.5181322","54","6.59375","4","16","7"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","94621.04146488","4","3.68913043478261","82","47","65"
ABB India Ltd,ABB,"Heavy Electrical Equipments","93394.37811375","70","6.22727272727273","93","4","70"
Bharat Electronics Ltd,BEL,"Electronic Equipments","91737.72430395","99","6","73","49","64"
Adani Power Ltd,ADANIPOWER,"Power Generation","91486.59168052","47","4.68571428571429","15","76","39"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","89133.0888383","40","5.54166666666667","61","62","40"
Shree Cement Ltd,SHREECEM,"Cement","87145.65024066","22","6.25405405405405","54","17","11"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","86073.54951852","24","5.65714285714286","22","3","5"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","85459.47466546501","94","4.85214285714286","44","63","54"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","83126.51473716","23","4.4375","20","1","13"
Ambuja Cements Ltd,AMBUJACEM,"Cement","82781.54959701","18","5.26486486486487","11","41","31"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","82450.6839484","56","8.65","66","78","83"
Cipla Ltd,CIPLA,"Pharmaceuticals","82393.39818251999","86","5.07214285714286","5","54","9"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","82074.49153718","64","5.65","80",,"99"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","79726.4389797","48","5.89285714285714","57","22","25"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","79092.045273925","8","5.99347826086956","22","43","15"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","77790.79051275","48","6.21791044776119","25","13","32"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","74509.2092574","82","5.37692307692308","54","15","26"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","72919.1137332","53",,,"20","29"
GAIL (India) Ltd,GAIL,"Gas Distribution","71076.82714083","58","4.25","87","97","91"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","70888.607850195","46",,"30","64","51"
Adani Total Gas Ltd,ATGL,"Gas Distribution","69315.530481075","19","5.41666666666667","18","1","2"
Zomato Ltd,ZOMATO,"Online Services","68962.94502138","1","4.66666666666667","23",,"35"
Marico Ltd,MARICO,"FMCG - Personal Products","68923.53729657","84","6.29179104477612","22","24","26"
Macrotech Developers Ltd,LODHA,"Real Estate","67284.0786836","87","5.3375","38","42","39"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","67243.58635985","65","2.9125","15","8","21"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","67092.5303102","10","4.97608695652174","50","92","92"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","66628.980398685","61","8.15","33","38","34"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","65331.8155104","83","3.31285714285714","49","40","53"
Punjab National Bank,PNB,"Public Banks","65075.10194778001","31","5.59838709677419","73","97","94"
SRF Ltd,SRF,"Diversified Chemicals","64426.453589625","38","5.84444444444444","41","34","20"
