Name,Ticker,"Sub-Sector","Market Cap","% Away From 52W High","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Cost of Goods Sold","Return on Investment","5Y Avg EBITDA Margin","Cash Flow Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","2.236654869193999","7.293117281641767","12.279946566854516","7.791758212459524","9.681077302724661","4.207378787736672","17.355777106095182",,"6.231800566489701","17.548911854523652","15.410111397221126","7.483725908622744","9.611415509765035","7.190763413755851","4.307324651513276"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","1.717098430853703","37.85940532086662","20.186395404784115","19.653204475666154","40.106342433882745","28.06139962578237","27.394531403583116","37","43.40607114688454","28.696925725997108","18.33277269808263","18.412280970000918","58.09206352403299","46.557894969401055","29.70368203874087"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","6.871389480085122",,"-5.00524815726016","20.42252174695809","16.94596235853789","1.8879255605450163","30.048156485123826",,,"29.04074366501441","-7.131722158151028","22.47422020549569","10.88599503440481","16.59917984603007","1.94025866439243"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","0.5155981459298964",,"45.79745786910495","11.031046369980006","8.911994275111223","0.9133519165016833","25.246011678031753",,,"16.853859169570907","36.8876396249449","18.18419123836149","7.106091034207057","14.138208462043862","1.506565060988138"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","3.464828719787816","42.772667140512894","17.212578903517432","16.394767680140347","46.12972271451979","22.563539512046646","23.82195961937095","28811","19.77928528632999","24.368070173755694","16.307310623990077","16.517864429464474","22.044587134924402","20.319449045768955","14.096376311958936"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","1.6388242757453986","23.631781362285647","25.670927991725605","26.07148867596876","24.279610699711892","20.044390615860273","38.06432842615443","30596.7","27.58891388238758","38.91638148988335","25.84576101205858","26.275817454313955","36.055390680322446","28.999039442686374","23.544152017046507"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","17.297240436200422","25.55008873066277","18.487166379526634","17.708342910893084","27.40105997994919","19.366111933968604","25.310434340460834","176","28.99017765833472","27.12145172458051","15.031311049856825","16.120507399577168","39.34668071654373","31.802073503111576","19.9689215787838"
State Bank of India,SBIN,"Public Banks","522669.89791471","7.7258726899383845",,"6.95627167347421","6.465786085183289","9.00643732934037","0.5435622702116328","16.708452147790343",,,"10.235970733437902","-18.170184199887217","11.75554283093849","5.036644021865648","16.163557342722534","0.981712287928221"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","1.037789058093641","2.2973707010434414","33.18851855346953","-7.75389836141588","-8.800686459194116","-2.5272129566989756","51.331820909087675",,"7.97785583203274","34.337220877974254","45.077690490002325","5.926075827129192","14.507818555780124","4.9143690055993705","1.205995881944536"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","6.916944542824099","3.354350075760748","-94.31946470602564","21.621331030814297","19.27551841564368","3.6962807427487805","38.67244856952967",,"4.245401438273622","31.328025242527694","-101.77031329695978","27.791411961545013","6.043404474097837","23.464808516968056","4.718833419483343"
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","21.90884111847422",,"0","1.2817927361302226",,,"5.231594269968975",,"35.9923594846759","2.476951573348881","-0.5219137143427353","4.541888314156008","0.9913336413888345","44.731893425414114","0.1020515267466561"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","10.454788657035863",,"18.531500968741756","18.531151857767338","13.44914473156678","2.1116148636393044","29.781018290105102",,,"25.872680332875813","14.255454733119722","21.74200975507577","8.30254069532529","13.284766621823318","2.3571614308422624"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","1.2842552330872614","9.26608920075719","4.097915811621625","6.361394465595199","12.49947232246843","3.287139359136243","16.01069837611327",,"8.105832707546181","18.259657663159715","12.061271393113671","5.617162464742245","16.50788345068802","9.390873034141777","2.7560852197815646"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","4.465340039361476","21.981742473673414","11.894191354626418","12.090810791829082","25.021233008912148","15.824358491126883","19.13499187278303","19123.82","23.129731409129462","20.515898807523453","11.991877358522942","11.743142195984317","32.618405895970554","26.80014801771774","16.851205307753165"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","4.487597202311133","20.685312530909613","18.927809756174867","15.324443694287549","23.400252839925642","16.386667510553945","23.329507654599567",,"20.216828336917878","25.01484258173713","19.488456837104177","14.444530900461027","28.285290679440024","22.113557433982045","15.430250102875954"
