Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","110160.331195365","1425.15","91","91","62","5.25","83"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","106759.97900996999","1060.4","46","17","71","4.78333333333333","69"
Varun Beverages Ltd,VBL,"Soft Drinks","106509.70398486","812.6","60","18","72",,"54"
Vedanta Ltd,VEDL,"Metals - Diversified","105355.700350395","282.2","84","90","93","5.8125","97"
Interglobe Aviation Ltd,INDIGO,"Airlines","104116.99408495","2730.65","84",,"71","10","54"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","103427.24358","199.05","100","94","95","5.64032258064516","32"
Dabur India Ltd,DABUR,"FMCG - Personal Products","101812.25202230501","578.5","4","17","17","4.61666666666667","50"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","98317.16439984","441.55","71","75","52","6.63125","92"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","96578.7967469","3666.55","9","16","9","6.59375","54"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","96234.24613130999","1158.55","68","49","89","3.68913043478261","4"
ABB India Ltd,ABB,"Heavy Electrical Equipments","95221.02830625","4204","68","4","90","6.22727272727273","69"
Adani Power Ltd,ADANIPOWER,"Power Generation","94764.98978037","244.15","29","75","4","4.68571428571429","47"
Bharat Electronics Ltd,BEL,"Electronic Equipments","92761.09334001","126","54","50","62","6","99"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","91130.7602643","3317.1","25","62","43","5.54166666666667","40"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","86908.03493253","780.3","11","1","11","4.4375","23"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","86784.025455495","5339.3","52","65","45","4.85214285714286","95"
Shree Cement Ltd,SHREECEM,"Cement","86695.90371684","23409.05","15","18","65","6.25405405405405","22"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","85450.2049192","1348.05","27","19","42","5.89285714285714","48"
Cipla Ltd,CIPLA,"Pharmaceuticals","83612.30708088001","1056.55","11","55","6","5.07214285714286","85"
Ambuja Cements Ltd,AMBUJACEM,"Cement","83258.10445197","420.9","29","43","12","5.26486486486487","18"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","83155.69943518001","387.95","99",,"87","5.65","63"
