Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Average Volume","1D Change in Volume","1W Return vs Nifty","1W Return","1D Return","Close Price","Face value","Daily Volume","6M Return vs Nifty","5Y CAGR","1Y Return","% Away From 52W Low","% Away From 52W High","1M Return vs Nifty","1M Return"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","-8.41718778039928","11.06743394391311","6159166.636363637","3.0049119178202677","2.862960635424922","4.066676792223569","-0.08384979948961654","2740.7","10","6979790","2.113066190552221","20.035458833753992","14.331602110839944","25.720183486238525","2.236654869193999","3.0893366033415024","7.400513353057583"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","-5.544954960017879","4.151664666399961","2082236.4090909092","37.53326502580288","4.365105649914579","5.568821806713226","5.211716633488495","3514.65","1","6306101","-4.802703086960928","12.148930680836179","17.203834931221344","20.11380335600288","1.717098430853703","3.7969729250043915","8.108149674720472"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","-1.0286462992181988","2.7395120732202485","17884117.454545453","-41.00424239934269","-2.161316734972586","-0.9576005781739394","0.2071781122417946","1644.5","1","12363607","-6.214855680140641","8.563946963205327","21.720143592021024","22.999252056843677","6.871389480085122","-1.6422209201546636","2.6689558295614173"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","4.849562049217976","9.914706050718404","15458171.090909092","-44.57234313624421","0.23859153550904333","1.4423076923076898","0.4551637543161985","960.05","2","12871569","0.9603382973575147","29.096026306056455","27.5983519404572","29.004299919376496","0.5155981459298964","-2.1564629808290836","2.1547137688869973"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","-15.57848001855126","2.0160060975609793","1340696.5","-5.086795441274538","-1.9894542688033838","-0.7857381120047373","0.8362526839190972","2676.9","1","1419016","-6.938361655799911","8.964340690352234","7.170309872687962","11.863769327204343","3.464828719787816","-5.120810839572492","-0.8096340898564116"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","39.84361169033201","43.847908745247146","8119231.636363637","-35.75793794929478","-0.24299882118805727","0.9607173356105893","0.1906779661016901","472.9","1","5081391","34.893540991886255","11.828506637093916","62.59240158157124","63.548331315925985","1.6388242757453986","2.078024600115185","6.389201349831266"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","-22.951750313956783","-5.167425930236427","6444899.136363637","28.62135590325732","5.994449532571373","7.198165689370019","4.457548897516676","1425.95","5","12833381","-14.121793683597318","16.70335109041421","-0.20296042271756054","20.302876908799462","17.297240436200422","5.343544874399573","9.654721624115654"
State Bank of India,SBIN,"Public Banks","522669.89791471","-0.8336965356535444","-2.616230628228636","14066809.772727273","-39.123822448926695","-2.7535813859091665","-1.5498652291105197","-0.21343806027490822","584.4","1","12190152","-11.570598381589527","17.78834145936845","21.91509335558568","23.109332209816724","7.7258726899383845","-2.949629615902878","1.3615471338132032"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","15.410642821298769","15.988486196519696","5227083.090909091","-8.717402028134321","0.640157701550478","1.8438738583491245","0.16383255183323492","886.5","5","3860080","7.034118443158807","20.265453376468457","38.15943271253799","40.99403578528826","1.037789058093641","2.760506322933228","7.071683072649309"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","5.574696392921748","25.16895847970826","1117242","-2.7376942970502722","-3.0404200604504075","-1.836703903651761","0.1036844780991625","7482.35","2","726600","16.214590726347367","24.829565519104268","28.32348628416097","36.39736040979273","6.916944542824099","1.120810681327269","5.43198743104335"
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","-35.88932056651648","-13.201459034792355","1172928.9090909092","-33.299338598776934","-1.8301215535220607","-0.6264053967234142","0.4872502842293324","618.7","10","534996","-22.155826788153245",,"-13.140530675277258","16.72483727950196","21.90884111847422","-0.502451917501308","3.808724832214773"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","-17.158552327328596","4.98230635286188","4126044.0454545454","35.449474585831574","-0.3674604244004809","0.8362557323981656","-0.0374391613627879","1869","5","7131916","-3.97206140049901","5.8831342920364404","5.590237563910626","13.720717979920893","10.454788657035863","-4.077889001345078","0.23328774837100308"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","27.434972220354485","14.806817126404752","1572130.5","-25.930594229645703","-0.26877423343121876","0.9349419233674278","0.9019855927188094","2472.25","2","845623","5.8524493730438625","13.746168298755856","50.18376211159371","51.2449528936743","1.2842552330872614","0.6653630265094685","4.976539776225549"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","-6.056889171643423","17.895261502500727","784880.3181818182","11.027080783761662","1.3697802693161423","2.573496426114789","0.9180385752747441","3429.75","1","832843","8.940893749139837","20.18436496768461","16.6919007195958","27.697004672636226","4.465340039361476","0.5677297391836866","4.8789064888997675"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","4.709681869558121","6.786973464464659","2869882.590909091","-46.27528839348745","-1.7781805659209569","-0.5744644091223103","3.801406926406935","1150.95","2","6605038","-2.1673942888962303","18.54413792921474","27.458471760797345","31.184817917592756","4.487597202311133","-2.9817758605141496","1.3294008892019313"
