Name,Ticker,"Sub-Sector","Market Cap","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Mutual Fund Holding","Insider Trades - 6M Cumulative","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Virinchi Ltd,VIRINCHI,"IT Services & Consulting","334.7646784","18.667158524213047","0","20309","0","0",,,,"0","0.056738228184973316","0.05736974544671153","0.41605422849772195","0","0","0","-2.938073437801968","0","-4.461460060976948","-1.7193721045619652","0"
Vaidya Sane Ayurved Laboratories Ltd,MADHAVBAUG,"Labs & Life Sciences Services","334.32771","12.98907589801635","0","595","0","0",,,,"0","0","0","0","0","0","0","0","0",,,
Shreeji Translogistics Ltd,STL,"Logistics","334.130484375","2.335971533576118","0","1999","0","0",,,,"0","0.6112077004347711","0.04769843143708219","0.6200796086820685","0","0","0","0","0",,,
Sil Investments Ltd,SILINV,"Diversified Financials","333.6845","10.017610651707365","0","4281","0","0",,,,"0","-0.00009437648289048741","-0.00009437648289048741","0","-0.002029094382145477","0","0.052869705715251056","0","0",,,
MSP Steel & Power Ltd,MSPL,"Iron & Steel","333.383975","9.558875238379409","41.61891078447907","57690","0","0",,,,"0","-0.007609978853962612","-0.00793949379240559","0","-0.036075658705549074","-0.005761322211121467","16.60108895606035","0","0",,,
Poddar Pigments Ltd,PODDARMENT,"Specialty Chemicals","333.3662","18.84622997172479","0","11492","0","0.011310084825636191",,,,"0","-0.5449293119698398","-0.0006597549481621723","0.47973609802073514","0","0","0.24316682375117812","0","0",,,
Sintercom India Ltd,SINTERCOM,"Industrial Machinery","333.0866462","6.424496641979157","2.5428818887306086","1659","0","0",,,,"0","0","-0.00003632688412472298","0","-0.676254009489018","-0.5289121674791416","0","0","0",,,
Foce India Ltd,FOCE,"Precious Metals, Jewellery & Watches","332.724","4.997010990358528","0","160","0","0",,,,"0","0","0","0","0","0","0","0","0",,,
Dynemic Products Ltd,DYNPRO,"Commodity Chemicals","332.180991285","40.456691493439976","0","15758","0","0",,,,"0","0.012617974990107347","0.11220654575216515","0.13709941278705698","0.08631328966919832","0.08631328966919832","0.08631328966919832","0.0493230280621475","0","0","0","0"
Websol Energy System Ltd,WEBELSOLAR,"Renewable Energy Equipment & Services","332.10589808000003","48.34251598907948","11.08321177455675","72622","0","0.015980444884244615",,,,"0","1.2996581685543918","0.24466576616000602","4.082158250840301","0.0018664760845449324","0","0.01906054676112725","1.39341198982655","-0.0009407040355665502",,,
