Name,Ticker,"Sub-Sector","Market Cap","Close Price","Depreciation & Amortization","Dividend Per Share","EBITDA","Employee Cost","Earnings Per Share","Interest & Other Items","Net Income","Operating & Other expenses","PBIT","PBT","Power & Fuel Cost","Payout Ratio","Raw Materials","Selling & Administrative Expenses","Taxes & Other Items","Total Revenue","EBITDA (Q)","EPS (Q)","Net Income (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)","Total revenue (Q)"
Jash Engineering Ltd,JASH,"Construction & Engineering","1468.37667348","1195.75","10.65","6","77.07",,"43.27","9.93","51.69999999999999","338.14","66.41999999999999","56.48999999999999",,"0.1386642015253062",,,"4.789999999999999","415.21","40.80000000000001","27.62","33.22000000000001","133.13","37.860000000000014","35.26000000000001","173.93"
Media Matrix Worldwide Ltd,MMWL,"Advertising","1468.033915824","12.85","1.58","0","13.029999999999973",,"0.01","6.81","1.3599999999999732","935.35","11.449999999999973","4.639999999999973",,"0",,,"3.28","948.38","2.759999999999991","0","-0.28000000000000913","257.87","2.429999999999991","0.8999999999999908","260.63"
Nitin Spinners Ltd,NITINSPIN,"Textiles","1465.9365","258.5","86.81","2.5","300.3699999999999",,"29.32","37.68","164.81999999999988","2109.65","213.5599999999999","175.87999999999988",,"0.08526603001364257",,,"11.059999999999995","2410.02","72.32999999999993","6.85","38.549999999999926","583.83","51.02999999999993","40.74999999999993","656.16"
Andhra Sugars Ltd,ANDHRSUGAR,"Commodity Chemicals","1461.74918115","110.2","67.1","2","323.5499999999997",,"13.72","3.7","185.95999999999972","2079.92","256.4499999999997","252.74999999999972",,"0.14577259475218657",,,"66.78999999999999","2403.47","61.66999999999996","2.38","32.30999999999996","488.12","44.55999999999996","43.90999999999996","549.79"
Reliance Industrial Infrastructure Ltd,RIIL,"Oil & Gas - Storage & Transportation","1458.358","949.55","5.89","3.5","25.63000000000001","17.69","11.629139072847689","0","17.56000000000001","32.7","19.74000000000001","19.74000000000001","0.11","0.30096810933940754","0","18.3","2.1799999999999997","94.43","12.73","7.64","11.55","16.86","11.67","11.67","29.59"
Udaipur Cement Works Ltd,UDAICEMENT,"Cement","1457.397942","25.85","37","0","135.03999999999996",,"0.8979814937726934","47.56","35.859999999999964","897.22","98.03999999999996","50.47999999999996",,"0",,,"14.62","1032.26","44.65999999999997","0.42166087533674307","16.88999999999997","250.18","35.419999999999966","23.909999999999968","294.84"
Heranba Industries Ltd,HERANBA,"Fertilizers & Agro Chemicals","1456.290131465","363.35","22.73","1.25","168.25",,"26.08","7.94","104.37","1162.79","145.52","137.58",,"0.04792944785276074",,,"33.21","1331.04","23.569999999999993","2.79","11.149999999999993","239.75","17.489999999999995","14.619999999999994","263.32"
Tamilnadu Newsprint & Papers Ltd,TNPL,"Paper Products","1455.844971","207.05","263.6","5","1048.0199999999995",,"56.04","181.66","387.86999999999955","4177.39","784.4199999999995","602.7599999999995",,"0.08922198429693076",,,"214.89","5225.41","287.8299999999999","14.86","102.82999999999993","1152.26","218.39999999999992","162.85999999999993","1440.09"
Remedium Lifecare Ltd,REMLIFE,,"1454.598","4035.45","0.15","0","8.009999999999948","0.55","15.111111111110967","0.45","5.439999999999948","77.46000000000002","7.859999999999948","7.409999999999948","0.06","0","417.3","6.46","1.97","509.84","-2.9000000000000057","-13.28","-4.780000000000006","78.48","-2.9100000000000055","-2.8100000000000054","75.58"
TCPL Packaging Ltd,TCPLPACK,"Packaging","1452.098284","1612.7","63.94","20","263.02000000000015","123.45","122.03296703296719","47.52","111.05000000000015","129.59000000000003","199.08000000000015","151.56000000000014","27.96","0.163890139576767","894.12","63.63","40.51","1501.7700000000002","65.56","26.54","24.31","328.99","48.78","35.72","394.55"
Prakash Industries Ltd,PRAKASH,"Iron & Steel","1447.876668315","83","151.74","0","424.5699999999997",,"10.64","82.35","190.4799999999997","3030.57","272.8299999999997","190.4799999999997",,"0",,,"0","3455.14","111.84000000000003","3.24","57.96000000000003","902.3","74.28000000000003","57.96000000000003","1014.14"
BF Investment Ltd,BFINVEST,"Asset Management","1437.9616989","377.15","0.58","0","344.39",,"68.84",,"259.29","5.630000000000001","343.81","343.81",,"0",,,"84.52","350.02","151.64","30.29","114.09","3.4299999999999997","151.5","151.5","155.07"
Universal Cables Ltd,UNIVCABLES,"Cables","1433.2661891100001","410.45","22.48","3","271.3899999999999",,"34.05","97.41","118.14999999999989","2016.58","248.90999999999988","151.4999999999999",,"0.0881057268722467",,,"33.35","2287.97","86.92999999999995","11.83","41.049999999999955","531.1","81.36999999999995","54.09999999999995","618.03"
Transformers and Rectifiers (India) Ltd,TRIL,"Heavy Electrical Equipments","1419.7616181","107.1","24.53","0.15","129.56999999999982","41.18","3.0709669457291136","47.97","40.70999999999982","106.51000000000005","105.03999999999982","57.06999999999982","14.82","0.048844550478998","1045.14","51.8","16.36","1389.02","33.69","0.68","9.019999999999996","400.7","26.749999999999996","14.759999999999996","434.39"
RACL Geartech Ltd,RACLGEAR,"Auto Parts","1414.222472","1296.65","18.7","1.5","90.76999999999998",,"34.72","20.66","37.41999999999999","276.57","72.06999999999998","51.40999999999998",,"0.043202764976958526",,,"13.989999999999998","367.34","23.710000000000008","8.86","9.550000000000006","72.6","18.790000000000006","13.970000000000006","96.31"
Matrimony.Com Ltd,MATRIMONY,"Online Services","1414.096017135","645.25","29.97","5","91.80999999999997","144.1","20.675829895057532","5.91","46.67999999999998","16.269999999999953","61.839999999999975","55.92999999999998","4.73","0.24182826156812348","0","223.24","9.25","480.15","22.180000000000007","5.12","11.410000000000007","97.82","14.910000000000007","13.520000000000007","120"
Ugar Sugar Works Ltd,UGARSUGAR,"Sugar","1411.875","127","18.07",,"214.86","107.93","9.16","48.4","103.05000000000001","486.72","196.79000000000002","148.39000000000001","8.02","0","956.95","26.11","45.339999999999996","1800.5900000000001","107.25999999999993","5.8","65.26999999999994","503.41","101.09999999999994","88.56999999999994","610.67"
Bhagiradha Chemicals and Industries Ltd,BHAGCHEM,"Fertilizers & Agro Chemicals","1407.809822485","1340.85","9.81","4","78.5899999999999","27.49","45.28556428036247","4.99","45.1599999999999","7.710000000000026","68.7799999999999","63.7899999999999","41.26","0.08832836829052279","333.51","14.79","18.63","503.3499999999999","18.430000000000007","8.97","9.380000000000006","104.35","15.850000000000007","14.300000000000006","122.78"
BF Utilities Ltd,BFUTILITIE,"Renewable Energy","1407.26258208","372.75","58","0","514.9300000000001",,"33.03","183.03","124.42000000000007","260.96","456.93000000000006","273.9000000000001",,"0",,,"149.48000000000002","775.89","126.41","7.44","28.010000000000005","110.03","111.78","61.120000000000005","236.44"
Gulshan Polyols Ltd,GULPOLY,"Specialty Chemicals","1402.6723452","236.65","28.73","0.5","95.05999999999995",,"7.241787363122718","6.13","45.179999999999936","1091.73","66.32999999999994","60.19999999999994",,"0.06904372842347527",,,"15.02","1186.79","28.69999999999999","2.300038333972233","14.369999999999987","275.91","21.35999999999999","19.329999999999988","304.61"
Kiri Industries Ltd,KIRIINDUS,"Specialty Chemicals","1401.337894385","270.8","48.88","0","-34.139999999999986",,"20.67","6.31","106.66000000000003","982.54","-83.01999999999998","-89.32999999999998",,"0",,,"-195.99","948.4","-1.9799999999999898","-11.77","-61.49999999999999","227.2","-14.04999999999999","-16.00999999999999","225.22"
Polo Queen Industrial and Fintech Ltd,PQIF,"FMCG - Household Products","1400.0775","41.55","0.27","0","5.710000000000008",,"0.07","1.91","2.3600000000000083","72.41","5.440000000000008","3.5300000000000082",,"0",,,"1.17","78.12","1.0800000000000018","0.01","0.2200000000000018","21.4","1.0100000000000018","0.5700000000000018","22.48"
Avantel Ltd,AVANTEL,"Communication & Networking","1397.9891864","837.1","5.77","1","47.300000000000004","14.17","16.549458712020837","4.86","26.840000000000003","0.3400000000000034","41.53","36.67","0.91","0.06042493699649776","77","15.21","9.83","154.93","14.450000000000003","4.94","8.000000000000002","54.7","12.880000000000003","11.390000000000002","69.15"
JITF Infralogistics Ltd,JITFINFRA,"Shipbuilding","1397.63901375","537.45","57.99","0","273.3600000000001",,"-49.67","312.55","-127.64999999999989","1330.86","215.37000000000012","-97.1799999999999",,"0",,,"30.47","1604.22","99.96000000000004","-7.81","-20.089999999999968","542.25","81.69000000000004","-2.599999999999966","642.21"
Southern Petrochemical Industries Corporation Ltd,SPIC,"Fertilizers & Agro Chemicals","1394.9363016","67.7","43.73","1.5","395.8899999999999",,"14.83","30.93","300.70999999999987","2475.03","352.15999999999985","321.22999999999985",,"0.10114632501685772",,,"20.520000000000003","2870.92","58.68999999999994","1.32","25.47999999999994","620.22","48.36999999999994","41.42999999999994","678.91"
Themis Medicare Ltd,THEMISMED,"Pharmaceuticals","1388.3298822","1515.8","10.49","5","92.57999999999998",,"61.83","9.56","56.91999999999999","286.87","82.08999999999999","72.52999999999999",,"0.08086689309396733",,,"15.61","379.45","15.799999999999997","9.13","8.399999999999995","69.62","12.999999999999996","10.289999999999996","85.42"
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","1387.84","214.55","29.6","1.85","186.48",,"9.79","5.23","125.29","210.79","156.88","151.65",,"0.18896833503575078",,,"26.36","397.27","91.81","5.645","72.25","61.49","82.86","80.01","153.3"
RPSG Ventures Ltd,RPSGVENT,"Packaged Foods & Meats","1380.2485989299998","467.25","305.32","0","977.2800000000002","4017.04","-54.376612051776185","551.73","-152.66999999999973","905.2600000000002","671.9600000000003","120.23000000000025","49.57","0","308.03","1083.23","272.9","7340.41","174.31999999999994","-41.68","-123.02000000000007","1628.93","99.95999999999994","-45.39000000000006","1803.25"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","1377.59553216","31.05","27.23","0","411.2999999999997",,"-4.37","492","-203.2000000000003","2224.63","384.0699999999997","-107.93000000000029",,"0",,,"95.27000000000001","2635.93","-22.180000000000007","-6.5","-302.41","193.57","-28.92000000000001","-152.45000000000002","171.39"
IFGL Refractories Ltd,IFGLEXPOR,"Industrial Machinery","1376.7017184","374.9","55.55","7","166.09000000000015",,"21.98","4.84","79.21000000000015","1233.56","110.54000000000015","105.70000000000014",,"0.3184713375796178",,,"26.490000000000002","1399.65","56.129999999999995","8.16","29.419999999999995","319.76","40.279999999999994","39.589999999999996","375.89"
Valiant Organics Ltd,VALIANTORG,"Commodity Chemicals","1376.6818416","510.55","29.19","1","177.16999999999996",,"32.45","10.79","88.13999999999997","887.57","147.97999999999996","137.18999999999997",,"0.03081664098613251",,,"49.05","1064.74","55.03999999999999","10.96","29.74999999999999","219.15","47.05999999999999","44.08999999999999","274.19"
Suven Life Sciences Ltd,SUVEN,"Pharmaceuticals","1376.04515427","62.4","6.54","0","-111.19000000000001","18.62","-6.293637691577071","0.54","-118.27000000000002","2.260000000000005","-117.73000000000002","-118.27000000000002","0","0","0","118.3","0","27.99","-25.92","-1.17","-27.640000000000004","34.13","-27.590000000000003","-27.640000000000004","8.21"
Solara Active Pharma Sciences Ltd,SOLARA,"Pharmaceuticals","1375.0573994","382.85","111.19","0","156.43999999999983",,"-6.16","90.06","-22.170000000000172","1309.92","45.24999999999983","-44.81000000000017",,"0",,,"-22.64","1466.36","53.44999999999999","1.05","3.7699999999999885","331.85","26.99999999999999","5.0399999999999885","385.3"
Alicon Castalloy Ltd,ALICON,"Auto Parts","1373.53436","851","63.56","2.5","156.9000000000001",,"31.92","31.24","51.410000000000096","1247.75","93.34000000000009","62.100000000000094",,"0.07832080200501253",,,"10.69","1404.65","33.14000000000004","6.02","9.700000000000042","287.53","16.450000000000042","7.890000000000041","320.67"
Mishtann Foods Ltd,MISHTANN,"FMCG - Foods","1370","13.83","0.8","0","82.59999999999991",,"0.5","4.99","49.919999999999916","567.83","81.79999999999991","76.80999999999992",,"0",,,"26.89","650.43","72.75999999999999","0.69","68.91","221.19","72.58999999999999","71.25999999999999","293.95"
Pearl Global Industries Ltd,PGIL,"Apparel & Accessories","1362.87827667","618.75","50.78","7.5","308.71999999999997","561.47","68.88867891371727","82.1","149.23999999999995","465.81999999999977","257.93999999999994","175.83999999999995","30.75","0.10887129958456182","1681.43","192.47","26.6","3240.66","86.22000000000003","23.97","51.940000000000026","667.13","72.27000000000002","55.940000000000026","753.35"
Goldiam International Ltd,GOLDIAM,"Precious Metals, Jewellery & Watches","1362.727560575","128.6","7.39","2","124.95999999999998",,"7.82","0.1","84.42999999999998","429.33","117.56999999999998","117.46999999999998",,"0.2557544757033248",,,"33.04","554.29","22.560000000000002","1.49","16.120000000000005","112.34","20.540000000000003","20.610000000000003","134.9"
Rico Auto Industries Ltd,RICOAUTO,"Auto Parts","1357.584975","98.7","111.82","0.75","239.48999999999978",,"3.77","54.07","51.00999999999979","2082.05","127.66999999999979","73.5999999999998",,"0.1989389920424403",,,"22.59","2321.54","73","1.91","25.9","536.21","42.07","27","609.21"
HPL Electric & Power Ltd,HPL,"Electrical Components & Equipments","1352.56072301","205.9","38.36","1","160.43000000000006",,"4.69","75.38","30.180000000000067","1105.34","122.07000000000006","46.69000000000007",,"0.21321961620469082",,,"16.51","1265.77","45.889999999999986","1.75","11.24999999999999","318.17","37.51999999999999","17.47999999999999","364.06"
Apollo Micro Systems Ltd,APOLLO,"Electronic Equipments","1352.3978677","57.25","10.37","0","61.95000000000002",,"0.9019999999999999","22.63","18.74000000000002","236.4","51.58000000000002","28.95000000000002",,"0",,,"10.21","298.35","21.47","0.34700000000000003","7.219999999999998","85.38","18.83","11.329999999999998","106.85"
Bharat Wire Ropes Ltd,BHARATWIRE,"Iron & Steel","1351.20913851","192.85","20.66","0","139.44999999999993","44.17","9.44526161165556","22.2","62.20999999999993","-5.980000000000015","118.78999999999994","96.58999999999993","51.12","0","339.27","21.7","34.38","589.7299999999999","45.82000000000001","2.48","15.940000000000008","116.67","40.61000000000001","34.46000000000001","162.49"
Madras Fertilizers Ltd,MADRASFERT,"Fertilizers & Agro Chemicals","1344.3903485","81.95","9.59","0","336.44000000000005",,"11.5","78.19","185.3300000000001","3124.96","326.8500000000001","248.66000000000008",,"0",,,"63.33","3461.4","90.79999999999995","2.94","47.31999999999995","683.83","90.20999999999995","71.18999999999996","774.63"
Ram Ratna Wires Ltd,RAMRAT,"Electrical Components & Equipments","1341.56","299.5","18.46","2.5","115.92000000000007",,"10.2","33.05","44.90000000000006","2540.86","97.46000000000006","64.41000000000007",,"0.2450980392156863",,,"19.51","2656.78","35.66999999999996","3.42","15.069999999999961","692.32","31.25999999999996","21.97999999999996","727.99"
Everest Industries Ltd,EVERESTIND,"Building Products - Prefab Structures","1341.225140585","867.4","33.78","6","108.12000000000012",,"26.98","31.5","42.36000000000012","1580.11","74.34000000000012","42.84000000000012",,"0.2223869532987398",,,"0.48","1688.23","30","8.23","12.949999999999996","436.54","21.61","-4.5","466.54"
Xchanging Solutions Ltd,XCHANGING,"IT Services & Consulting","1336.844592","120","0.61","0","60.31",,"4.03","0.1","44.900000000000006","124.81","59.7","59.6",,"0",,,"14.7","185.12","16.53","0.99","11.020000000000003","32.62","16.380000000000003","16.360000000000003","49.15"
Kokuyo Camlin Ltd,KOKUYOCMLN,"Stationery","1329.0254295","130.3","16.85","0","56.4400000000001","88.96","2.4365974706882096","4.45","24.44000000000009","35.480000000000004","39.590000000000096","35.14000000000009","9.32","0","506.16","80.66","10.700000000000001","777.0200000000001","17.400000000000006","0.87","8.750000000000007","199.09","13.160000000000005","11.640000000000006","216.49"
Ksolves India Ltd,KSOLVES,"IT Services & Consulting","1322.89248","1125.6","0.55","11","33.72","34.64","20.850202429149803","0.23","24.720000000000006","1.160000000000002","33.17","32.940000000000005","0.05","0.5275728155339804","0","9.37","8.219999999999999","78.94","10.27","6.4","7.6","13.59","10.129999999999999","10.129999999999999","23.86"
Permanent Magnets Ltd,PERMAGN,"Metals - Diversified","1318.357806225","1508","5.49","1.5","46.71000000000001",,"34.61","1.27","29.750000000000004","141.48","41.220000000000006","39.95",,"0.04334007512279688",,,"10.2","188.19","14.469999999999999","10.24","8.799999999999997","36.2","12.559999999999999","12.179999999999998","50.67"
Sree Rayalaseema Hi-Strength Hypo Ltd,SRHHYPOLTD,"Commodity Chemicals","1318.172428695","761.3","19.35","4","211.79999999999995",,"89.87","2.03","154.24999999999997","1472.43","192.44999999999996","190.41999999999996",,"0.044508734839212194",,,"36.169999999999995","1684.23","84.51999999999998","41.43","71.1","370.91","79.24999999999999","78.53999999999999","455.43"
Shaily Engineering Plastics Ltd,SHAILY,"Industrial Machinery","1315.34258427","1395","33.31","0","96.3900000000001",,"38.32","17.88","35.150000000000105","515.18","63.0800000000001","45.2000000000001",,"0",,,"10.05","611.57","26.489999999999995","10.82","9.939999999999994","109.29","16.629999999999995","11.739999999999995","135.78"
Ajmera Realty & Infra India Ltd,AJMERA,"Real Estate","1314.00492125","366.4","1.5","3","133.95999999999998",,"20.22","36.27","71.49999999999997","306.67","132.45999999999998","96.18999999999997",,"0.1483679525222552",,,"24.69","440.63","34.56999999999999","4.32","15.109999999999992","83.23","34.11999999999999","19.429999999999993","117.8"
Insecticides (India) Ltd,INSECTICID,"Fertilizers & Agro Chemicals","1308.372384585","443.55","26.1","3","123.37999999999988",,"21.36","13.45","63.20999999999989","1679.44","97.27999999999989","83.82999999999988",,"0.1404494382022472",,,"20.619999999999997","1802.82","-28.19999999999999","-9.9","-29.299999999999986","330.51","-34.84999999999999","-39.319999999999986","302.31"
Onward Technologies Ltd,ONWARDTEC,"Outsourced services","1305.66999105","569.6","12.98","3","32.68000000000001","353.09","5.184299828498491","1.66","11.490000000000006","34.65999999999998","19.700000000000006","18.040000000000006","2.16","0.5786702349869449","0","23.74","6.55","446.33","17.11","4.87","10.870000000000001","105.15","13.85","13.49","122.26"
AVT Natural Products Ltd,AVTNPL,"Agro Products","1305.07388","85.55","13.39","1","123.25999999999999",,"5.08","5.35","77.39","461.25","109.86999999999999","104.52",,"0.19685039370078738",,,"27.13","584.51","23.36","0.93","14.13","110.23","19.84","17.91","133.59"
DCW Ltd,DCW,"Commodity Chemicals","1304.58517514","43.95","90.16","0.5","490.67999999999984",,"6.5","126.11","191.97999999999985","2205.31","400.51999999999987","274.40999999999985",,"0.07692307692307693",,,"82.43","2695.99","103.79999999999995","1.2","35.34999999999996","488.72","81.02999999999996","61.94999999999996","592.52"
Krishana Phoschem Ltd,KRISHANA,"Fertilizers & Agro Chemicals","1300.550544","438.9","8.68","0.5","54.44999999999999",,"8.8","6.82","26.74999999999999","271.26","45.76999999999999","38.94999999999999",,"0.056818181818181816",,,"12.2","325.71","19.83999999999999","2.02","6.219999999999988","126.61","17.51999999999999","14.199999999999989","146.45"
Kitex Garments Ltd,KITEX,"Apparel & Accessories","1299.0775","194.15","21.21","1.5","104.92999999999995",,"8.56","4.47","57.54999999999994","496.12","83.71999999999994","79.24999999999994",,"0.17523364485981308",,,"21.7","601.05","10.64","0.45","3.360000000000001","104.2","5.500000000000001","5.410000000000001","114.84"
Pokarna Ltd,POKARNA,"Cement","1297.67242","415.3","41.8","0.6","180.99",,"21.23","48.27","65.80999999999999","558.33","139.19","90.91999999999999",,"0.028261893546867638",,,"25.11","739.32","35.26999999999998","3.45","10.679999999999984","130.02","24.829999999999984","13.339999999999984","165.29"
KMC Speciality Hospitals India Ltd,KMCSHIL,"Hospitals & Diagnostic Centres","1295.710325","78","7.64","0","44.44999999999999",,"1.64","0.81","26.69999999999999","114.44","36.80999999999999","35.999999999999986",,"0",,,"9.299999999999999","158.89","12.129999999999999","0.45","7.249999999999999","29.81","10.04","9.719999999999999","41.94"
Goodluck India Ltd,GOODLUCK,"Iron & Steel","1294.671875","474.5","32.59","4.5","219.1600000000003",,"33.31","65.52","87.80000000000031","2867.64","186.5700000000003","121.05000000000031",,"0.13509456619633742",,,"33.25","3086.8","70.86999999999989","10.49","28.599999999999888","788.19","62.04999999999989","40.13999999999989","859.06"
Jay Bharat Maruti Ltd,JAYBARMARU,"Auto Parts","1286.6595","301.05","80.07","1.75","175.4000000000001",,"8.75","36.83","37.910000000000096","2170.9","95.3300000000001","58.5000000000001",,"0.2",,,"20.59","2346.3","52.139999999999986","3.31","14.339999999999987","622","31.829999999999988","22.009999999999987","674.14"
Indian Hume Pipe Company Ltd,INDIANHUME,"Water Management","1283.8547349","275.4","15.54","2","164.8800000000001","79.43","11.494995476515989","76.98","55.69000000000011","1246.12","149.34000000000012","72.36000000000011","3.06","0.17398875920272905","38.44","32.64","16.669999999999998","1564.5700000000002","43.360000000000014","3.31","16.010000000000016","412.38","39.500000000000014","19.890000000000015","455.74"
Everest Kanto Cylinder Ltd,EKC,"Gas Distribution","1278.60653639","121.15","39.55","0.7","145.3900000000001",,"6.79","11.12","76.1400000000001","1134.56","105.8400000000001","94.7200000000001",,"0.10309278350515463",,,"18.58","1279.95","51.16999999999999","3.24","36.389999999999986","248.96","39.93999999999998","36.759999999999984","300.13"
Himatsingka Seide Ltd,HIMATSEIDE,"Textiles","1269.6050782","125.75","164.03","0","346.0400000000004",,"-6.51","257.23","-64.0699999999996","2406.72","182.01000000000042","-75.2199999999996",,"0",,,"-11.15","2752.76","124.29999999999995","2.27","22.34999999999995","567.58","84.29999999999995","35.869999999999955","691.88"
Sterling Tools Ltd,STERTOOLS,"Industrial Machinery","1269.313074585","350.95","31.72","2","103.88",,"13.29","8.84","47.86999999999999","674.44","72.16","63.31999999999999",,"0.1504890895410083",,,"15.450000000000001","778.32","20.119999999999976","2.16","7.779999999999976","192.55","12.209999999999976","9.979999999999976","212.67"
Sanmit Infra Ltd,SANINFRA,,"1267.536165","76.97","1.37","0.04","8.800000000000004","0.81","0.5949760804529077","0.75","5.170000000000004","2.2799999999999967","7.430000000000004","6.680000000000004","0","0.06722959344777558","130.45","1.17","1.51","143.51","5.060000000000002","0.2","3.1600000000000024","35.16","4.720000000000002","4.5100000000000025","40.22"
S. P. Apparels Ltd,SPAL,"Apparel & Accessories","1256.135556","496.05","36.15","0","165.5300000000001",,"32.37","18.62","82.53000000000007","935.36","129.38000000000008","110.76000000000008",,"0",,,"28.23","1100.89","41.650000000000006","8.18","20.590000000000003","235.42","32.480000000000004","25.410000000000004","277.07"
EKI Energy Services Ltd,EKI,,"1255.61699717","445.95","0.63","5.00001250003125","516.8199999999999","25.31","70.7689176316124","0.69","383.1899999999998","1213.6200000000001","516.1899999999999","515.4999999999999","0","0.07065266316575329","0","45.57","132.31000000000003","1801.32","65.38999999999999","14.51","39.899999999999984","355.85","64.10999999999999","62.18999999999998","421.24"
TV Today Network Ltd,TVTODAY,"TV Channels & Broadcasters","1251.25085655","207.35","41.28","70","164.9799999999999",,"14.79","3.34","88.2399999999999","756.82","123.6999999999999","120.3599999999999",,"4.732927653820149",,,"32.12","921.8","19.439999999999998","0.98","5.849999999999998","205.57","9.109999999999998","8.269999999999998","225.01"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","1249.44067296","20.05","151.39","0","2733.62",,"19.6","1350.25","1182.79","5132.1","2582.23","1231.98",,"0",,,"49.19","7865.72","-123.26999999999998","-7.84","-473.0899999999999","1721.7","-144.99999999999997","-471.44999999999993","1598.43"
Nalwa Sons Investments Ltd,NSIL,"Asset Management","1242.001255845","2447.45","0.02","0","124.35999999999999",,"180.26",,"90.91999999999999","9.21","124.33999999999999","124.33999999999999",,"0",,,"33.419999999999995","133.57","7.97","10.85","5.8","1.62","7.97","7.97","9.59"
Ngl Fine Chem Ltd,NGLFINE,"Pharmaceuticals","1241.69015364","1981.8","11.29","1.75","39.85000000000002",,"33.18","1.2","20.490000000000023","243.76","28.560000000000024","27.360000000000024",,"0.052742616033755275",,,"6.87","283.61","15.069999999999993","15.09","9.319999999999993","60.92","12.389999999999993","12.049999999999994","75.99"
Uttam Sugar Mills Ltd,UTTAMSUGAR,"Sugar","1240.2516624","340.65","36.26","2.5","253.6199999999999",,"32.41","52.4","123.61999999999989","1814.06","217.3599999999999","164.9599999999999",,"0.07713668620796052",,,"41.34","2067.68","114.41000000000003","18.35","70.00000000000003","415.71","105.25000000000003","93.30000000000003","530.12"
Mahanagar Telephone Nigam Ltd,MTNL,"Telecom Services","1234.8","19.5","729.74","0","168.51",,"-46.27","2354.38","-2915.11","1381.06","-561.23","-2915.61",,"0",,,"-0.5","1549.57","73.36000000000001","-11.88","-748.5500000000001","344.82","-108.1","-749.0400000000001","418.18"
Andrew Yule & Co Ltd,ANDREWYU,"Tea & Coffee","1232.1564645600001","25.15","6.45","0.006999999999999999","25.420000000000016",,"0.26","9.99","12.650000000000016","380.37","18.970000000000017","8.980000000000016",,"0.02692307692307692",,,"-3.670000000000001","405.79","-7.3799999999999955","-0.09","-5.859999999999996","98.77","-9.349999999999996","-12.209999999999996","91.39"
Agarwal Industrial Corporation Ltd,AGARIND,"Commodity Chemicals","1228.93194424","783.05","22.69","2.5","144.57999999999993",,"63.78","12.13","92.25999999999993","1879.51","121.88999999999993","109.75999999999993",,"0.039197240514267796",,,"17.5","2024.09","43.18999999999994","19.56","28.29999999999994","616.99","36.90999999999994","33.29999999999994","660.18"
Ashapura Minechem Ltd,ASHAPURMIN,"Metals - Diversified","1227.74343516","145.9","72.56","0","258.69000000000005",,"12.79","64.32","117.01000000000006","1658.28","186.13000000000005","121.81000000000006",,"0",,,"4.800000000000001","1916.97","80.94000000000005","4.37","39.95000000000005","637.13","61.57000000000005","42.300000000000054","718.07"
Pitti Engineering Ltd,PITTIENG,"Industrial Machinery","1226.3958137549998","412.3","44.65","2.7","169.21000000000004",,"18.36","44.65","58.83000000000003","948.79","124.56000000000003","79.91000000000003",,"0.14705882352941177",,,"21.08","1118","56.370000000000005","7.75","24.840000000000007","206.94","43.61000000000001","33.68000000000001","263.31"
Spectrum Electrical Industries Ltd,SPECTRUM,"Electrical Components & Equipments","1224.70704","799","9","1","28.150000000000034",,"5.59","7.43","8.450000000000035","230.14","19.150000000000034","11.720000000000034",,"0.17889087656529518",,,"3.27","258.29",,,,,,,
Infobeans Technologies Ltd,INFOBEAN,"Software Services","1218.7441893","511","30.14","1","84.56","269.07","14.852752880921896","7.81","35.96","14.269999999999996","54.42","46.61","1.02","0.06732758620689655","0","29.92","10.65","398.84","15.759999999999991","1.95","4.739999999999991","81.06","7.889999999999991","6.009999999999991","96.82"
Pnb Gilts Ltd,PNBGILTS,"Investment Banking & Brokerage","1218.66860718","70.45","1.36","0","-83.71000000000004",,"-4.29",,"-77.23000000000003","1321.5","-85.07000000000004","-85.07000000000004",,"0",,,"-7.840000000000001","1237.79","18.420000000000016","0.75","13.480000000000018","298.89","17.860000000000017","17.860000000000017","317.31"
Mangalore Chemicals and Fertilisers Ltd,MANGCHEFER,"Fertilizers & Agro Chemicals","1211.81740875","104.3","59.68","1.5","340.0799999999999",,"11.36","104.38","134.64999999999992","3332.09","280.3999999999999","176.01999999999992",,"0.13204225352112678",,,"41.37","3672.17","139.30999999999995","5.73","67.87999999999994","1035.67","122.41999999999994","91.68999999999994","1174.98"
PTC India Financial Services Ltd,PFS,"Specialized Finance","1210.704086475","18.75","6.08","1","238.45000000000005",,"2.74",,"175.81000000000003","558.63","232.37000000000003","232.37000000000003",,"0.36496350364963503",,,"56.559999999999995","797.08","47.03999999999999","0.57","36.40999999999999","152.56","45.44999999999999","45.44999999999999","199.6"
5Paisa Capital Ltd,5PAISA,"Diversified Financials","1208.30164476","399.95","8.79","0","66.88999999999999",,"14.42",,"43.579999999999984","272.48","58.09999999999999","58.09999999999999",,"0",,,"14.52","339.37","21.78","4.74","14.530000000000003","62.8","19.470000000000002","19.470000000000002","84.58"
