Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Return on Investment","Cost of Goods Sold","Cash Flow Margin","5Y Avg EBITDA Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75",,"-5.00524815726016","20.42252174695809","16.94596235853789","1.8879255605450163","30.048156485123826",,,"-7.131722158151028","29.04074366501441","22.47422020549569","10.88599503440481","16.59917984603007","1.94025866439243"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","37.85940532086662","20.186395404784115","19.653204475666154","40.106342433882745","28.06139962578237","27.394531403583116","43.40607114688454","37","18.33277269808263","28.696925725997108","18.412280970000918","58.09206352403299","46.557894969401055","29.70368203874087"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6",,"45.79745786910495","11.031046369980006","8.911994275111223","0.9133519165016833","25.246011678031753",,,"36.8876396249449","16.853859169570907","18.18419123836149","7.106091034207057","14.138208462043862","1.506565060988138"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","42.772667140512894","17.212578903517432","16.394767680140347","46.12972271451979","22.563539512046646","23.82195961937095","19.77928528632999","28811","16.307310623990077","24.368070173755694","16.517864429464474","22.044587134924402","20.319449045768955","14.096376311958936"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","25.55008873066277","18.487166379526634","17.708342910893084","27.40105997994919","19.366111933968604","25.310434340460834","28.99017765833472","176","15.031311049856825","27.12145172458051","16.120507399577168","39.34668071654373","31.802073503111576","19.9689215787838"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","23.631781362285647","25.670927991725605","26.07148867596876","24.279610699711892","20.044390615860273","38.06432842615443","27.58891388238758","30596.7","25.84576101205858","38.91638148988335","26.275817454313955","36.055390680322446","28.999039442686374","23.544152017046507"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05",,"6.95627167347421","6.465786085183289","9.00643732934037","0.5435622702116328","16.708452147790343",,,"-18.170184199887217","10.235970733437902","11.75554283093849","5.036644021865648","16.163557342722534","0.981712287928221"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","2.2973707010434414","33.18851855346953","-7.75389836141588","-8.800686459194116","-2.5272129566989756","51.331820909087675","7.97785583203274",,"45.077690490002325","34.337220877974254","5.926075827129192","14.507818555780124","4.9143690055993705","1.205995881944536"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","3.354350075760748","-94.31946470602564","21.621331030814297","19.27551841564368","3.6962807427487805","38.67244856952967","4.245401438273622",,"-101.77031329695978","31.328025242527694","27.791411961545013","6.043404474097837","23.464808516968056","4.718833419483343"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25",,"0","1.2817927361302226",,,"5.231594269968975","35.9923594846759",,"-0.5219137143427353","2.476951573348881","4.541888314156008","0.9913336413888345","44.731893425414114","0.1020515267466561"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9",,"23.50249725211919","18.589078985221875","13.526293585963398","2.218992076007632","29.710664622113555",,,"-1.8232946685034186","25.893626248535547","21.90281093768414","7.574504785779225","14.249607145779356","2.557053833852066"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","13.090818108688335","4.897030297581082","8.513758704171398","14.486904651918584","5.696697675496867","11.704257345271476","11.183491330694153","54986.549999999996","6.34207972991532","13.81105173939659","6.852845216343899","14.725576608805405","11.322643931853255","4.604490283939859"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","21.981742473673414","11.894191354626418","12.090810791829082","25.021233008912148","15.824358491126883","19.13499187278303","23.129731409129462","19123.82","11.991877358522942","20.515898807523453","11.743142195984317","32.618405895970554","26.80014801771774","16.851205307753165"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","20.685312530909613","18.927809756174867","15.324443694287549","23.400252839925642","16.386667510553945","23.329507654599567","20.216828336917878",,"19.488456837104177","25.01484258173713","14.444530900461027","28.285290679440024","22.113557433982045","15.430250102875954"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9",,"32.1046780973151","9.06083425601713","7.799020183988086","0.7519063985677034","29.925019841316587",,,"20.794905550623028","17.268473931132313","10.191206705305241","4.6668153837860356","8.700101098882907","0.8515734737521538"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","12.594013981786189","8.063650161661114","6.582255914013416","12.881189073316104","9.41463020447227","11.123418750948781","7.184669739414255",,"2.039642538931074","12.026122036977352","6.848812322023455","18.23656996113268","7.195312058059544","5.313233574103131"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","7.232400602024134","7.612874615120376","1.8938833651008995","5.487941835046948","1.783864471783221","6.987653241754932","7.07309685718084","103258.31999999999","12.755523534506313","6.844367857998148","1.7895620770944383","7.483646354310109","7.630361863186419","2.0364742792740187"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","14.70133772266882","4.8805705902343215","6.800779977790251","23.763734322801543","11.327183145531784","12.689560708345564","16.689389309388368","32648","3.350944134624792","11.352539214796428","7.94932002739458","34.50857807502181","30.60695955172576","13.483239296382344"
