Count: 0	Distance: 0.13ft	Time: 2.47sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.51sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.54sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.57sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.60sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.63sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.66sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.70sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.73sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.76sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.79sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.83sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.86sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.89sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.92sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.95sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.98sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.02sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.05sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.08sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.11sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.15sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.17sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.21sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.24sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.27sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.30sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.34sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.37sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.40sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.43sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.46sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.49sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.53sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.56sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.59sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.62sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.66sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.69sec	Speed: 0.13ft/sec 
