1	3
2	7
3	4
4	4
5	4
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	2
39	62
40	95
41	95
42	43
43	248
44	255
45	255
46	255
47	255
48	255
49	255
50	255
51	255
52	255
53	255
54	255
55	255
56	255
57	255
58	255
59	255
60	255
61	255
62	255
63	255
64	255
65	255
66	255
67	255
68	255
69	255
70	255
71	255
72	255
73	255
74	255
75	240
76	240
77	249
78	254
79	254
80	254
81	221
82	221
83	221
84	185
85	185
86	185
87	168
88	175
89	186
90	197
91	206
92	213
93	218
94	220
95	221
96	220
97	220
98	220
99	213
100	213
101	213
102	200
103	200
104	200
105	193
106	193
107	194
108	197
109	199
110	204
111	217
112	234
113	247
114	241
115	241
116	241
117	219
118	221
119	221
120	207
121	207
122	207
123	161
124	161
125	161
126	150
127	151
128	151
129	154
130	158
131	162
132	167
133	169
134	169
135	169
136	169
137	169
138	158
139	158
140	158
141	138
142	138
143	140
144	38
145	38
146	38
147	6
148	6
149	6
150	6
151	6
152	6
153	6
154	6
155	6
156	5
157	5
158	5
159	4
160	4
161	5
162	5
163	5
164	5
165	5
166	5
167	5
168	5
169	5
170	5
171	5
172	5
173	5
174	4
175	4
176	4
177	4
178	4
179	4
180	4
181	4
182	4
183	5
184	5
185	5
186	6
187	6
188	6
189	5
190	5
191	5
192	6
193	6
194	6
195	5
196	5
197	5
198	5
199	5
200	5
201	4
202	4
203	4
204	4
205	4
206	4
207	4
208	4
209	4
210	4
211	4
212	4
213	0
214	0
215	1
216	1
217	2
218	3
219	5
220	7
221	8
222	9
223	10
224	14
225	18
226	22
227	27
228	31
229	34
230	35
231	34
232	34
233	34
234	24
235	24
236	24
237	30
238	46
239	66
240	81
241	81
242	81
243	59
244	59
245	59
246	15
247	15
248	15
249	23
250	33
251	39
252	40
253	40
254	40
255	30
256	34
257	53
258	82
259	114
260	144
261	167
262	181
263	185
264	170
265	170
266	170
267	158
268	176
269	187
270	185
271	185
272	185
273	132
274	132
275	132
276	56
277	65
278	77
279	78
280	78
281	78
282	50
283	56
284	56
285	35
286	35
287	35
288	11
289	11
